SampleID,GeneCount
GA02_16,88055
GA02_3,14405
GA02_15J,8182
GA02_4,34566
GA02_2,89897
GA02_14,7014
GA03_7,41709
GA10_4,1723
GP13_15,11475
GA10_6,20413
GA02_17,140839
GA02_23,31476
GA02_11J,29824
GA10_5,56951
GA02_21,59411
GA10_1,37330
GA02_12J,15858
GA02_27,50303
GA03_10,172018
GA02_25,62978
GA02_10J,9098
GP13_GT19,9889
GA10_3,29013
GA02_18J,15320
GP13_2,12909
GA02_11,123426
GA02_5,17248
GA02_31,37743
GA02_10,206560
GA03_12,80811
GA02_35,94350
GA02_33,68861
GP13_29,11457
GA02_12,187902
GP13_32,21284
GA02_7,5433
GA02_15,111766
GA02_17J,11967
GA02_6,14964
GA02_16J,8314
GA02_18,96044
